rt,trial_type,trial_index,trial_number,time_elapsed,random_id,stimulus,response,task,word,condition,list,question_order,correct_answer,correct,file_name,participant_id,stimulus_list,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,likert_rating,experiment_about,feel_while_completing,subjective_task_difficulty,technical_issues,feedback,participant_is_group_member
1780,survey-likert,42,32,353959,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Coma,weakly related,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1630,survey-likert,43,33,355592,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Chess,unrelated,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
2281,survey-likert,44,34,357876,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Calm,weakly related,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
2079,survey-likert,45,35,359958,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Fast,unrelated,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1382,survey-likert,46,36,361342,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Splinter,weakly related,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
2231,survey-likert,47,37,363577,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Stop,unrelated,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1396,survey-likert,48,38,364975,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Thread,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1780,survey-likert,49,39,366758,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Stitch,weakly related,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1131,survey-likert,50,40,367891,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Needle,critical,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1049,survey-likert,51,41,368943,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Pin,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
2931,survey-likert,52,42,371875,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Click: Definitely New,attention_check,none,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1632,survey-likert,53,43,373509,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Sugar,studied,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1131,survey-likert,54,44,374642,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Sweet,critical,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1864,survey-likert,55,45,376509,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Salty,weakly related,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1397,survey-likert,56,46,377908,paz6h3xv1n0,NA,"{""Q0"":3}",recognition,Sour,studied,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1397,survey-likert,57,47,379308,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Cherry,weakly related,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1564,survey-likert,58,48,380875,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Door,unrelated,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1098,survey-likert,59,49,381975,paz6h3xv1n0,NA,"{""Q0"":0}",recognition,Ghost,unrelated,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
666,html-keyboard-response,62,50,394892,paz6h3xv1n0,<h1>Couch</h1>,s,speed_game,Couch,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
870,html-keyboard-response,64,51,396567,paz6h3xv1n0,<h1>Click N</h1>,n,speed_attention_check,NA,NA,NA,NA,NA,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
5012,html-keyboard-response,65,52,401581,paz6h3xv1n0,<h1>Touch</h1>,n,speed_game,Touch,NA,NA,NA,s,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
3852,html-keyboard-response,67,53,406238,paz6h3xv1n0,<h1>Thread</h1>,s,speed_game,Thread,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
650,html-keyboard-response,69,54,407692,paz6h3xv1n0,<h1>Sweet</h1>,s,speed_game,Sweet,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1655,html-keyboard-response,71,55,410152,paz6h3xv1n0,<h1>Sleep</h1>,s,speed_game,Sleep,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
837,html-keyboard-response,73,56,411793,paz6h3xv1n0,<h1>Peak</h1>,n,speed_game,Peak,NA,NA,NA,s,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
590,html-keyboard-response,75,57,413186,paz6h3xv1n0,<h1>Hill</h1>,s,speed_game,Hill,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
886,html-keyboard-response,77,58,414876,paz6h3xv1n0,<h1>Smooth</h1>,s,speed_game,Smooth,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
619,html-keyboard-response,79,59,416300,paz6h3xv1n0,<h1>Table</h1>,s,speed_game,Table,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
583,html-keyboard-response,81,60,417687,paz6h3xv1n0,<h1>Chair</h1>,s,speed_game,Chair,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
883,html-keyboard-response,83,61,419376,paz6h3xv1n0,<h1>Pin</h1>,s,speed_game,Pin,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
693,html-keyboard-response,85,62,420872,paz6h3xv1n0,<h1>Needle</h1>,s,speed_game,Needle,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
597,html-keyboard-response,87,63,422274,paz6h3xv1n0,<h1>Mountain</h1>,s,speed_game,Mountain,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
551,html-keyboard-response,89,64,423629,paz6h3xv1n0,<h1>Bed</h1>,s,speed_game,Bed,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
853,html-keyboard-response,91,65,425286,paz6h3xv1n0,<h1>Sour</h1>,s,speed_game,Sour,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
761,html-keyboard-response,93,66,426851,paz6h3xv1n0,<h1>Rough</h1>,n,speed_game,Rough,NA,NA,NA,n,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
1179,html-keyboard-response,95,67,428835,paz6h3xv1n0,<h1>Tired</h1>,s,speed_game,Tired,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
536,html-keyboard-response,97,68,430175,paz6h3xv1n0,<h1>Sugar</h1>,s,speed_game,Sugar,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/paz6h3xv1n0_1772141261845.csv,lamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory and recall,Forgetful,Challenging orally to remember entire sequence ,"One question said to press one of two buttons but had no word on screen, when ip resed i it i got ""incorrect""",NA,FALSE
54802,survey-text,5,1,108155,pbzttx8g7pb,NA,"{""Q0"":""Knitting"",""Q1"":""Clothe"",""Q2"":""Syringe"",""Q3"":""Needle"",""Q4"":""Sharp "",""Q5"":""Point"",""Q6"":""Sewing"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,stimuli/Cogs 119 List 3.wav,Knitting,Clothe,Syringe,Needle,Sharp ,Point,Sewing,,,,,,,,,NA,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
51852,survey-text,7,2,187854,pbzttx8g7pb,NA,"{""Q0"":""Sand"",""Q1"":""Ground"",""Q2"":""Gravel"",""Q3"":""Rough"",""Q4"":""Smooth"",""Q5"":""Tough"",""Q6"":""Roads"",""Q7"":""Sandpaper"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,stimuli/Cogs 119 List 4.wav,Sand,Ground,Gravel,Rough,Smooth,Tough,Roads,Sandpaper,,,,,,,,NA,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
95984,survey-text,9,3,310506,pbzttx8g7pb,NA,"{""Q0"":""Yawn"",""Q1"":""Peace"",""Q2"":""Tired"",""Q3"":""Dream"",""Q4"":""Drowsy"",""Q5"":""Sleep"",""Q6"":""Rest"",""Q7"":""Snore"",""Q8"":""Nap"",""Q9"":""Slumber"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,stimuli/Cogs 119 List 5.wav,Yawn,Peace,Tired,Dream,Drowsy,Sleep,Rest,Snore,Nap,Slumber,,,,,,NA,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
67038,survey-text,11,4,404404,pbzttx8g7pb,NA,"{""Q0"":""Steep"",""Q1"":""Ski"",""Q2"":""Ranger"",""Q3"":""Bike"",""Q4"":""Glacier"",""Q5"":""Peak"",""Q6"":""Goat"",""Q7"":""Climb"",""Q8"":""Summit"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,stimuli/Cogs 119 List 2.wav,Steep,Ski,Ranger,Bike,Glacier,Peak,Goat,Climb,Summit,,,,,,,NA,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
73310,survey-text,13,5,504637,pbzttx8g7pb,NA,"{""Q0"":""Pie"",""Q1"":""Cake"",""Q2"":""Chocolate"",""Q3"":""Heart"",""Q4"":""Soda"",""Q5"":""Sour"",""Q6"":""Candy"",""Q7"":""Tart"",""Q8"":""Sweet"",""Q9"":""Sugary"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,stimuli/Cogs 119 List 6.wav,Pie,Cake,Chocolate,Heart,Soda,Sour,Candy,Tart,Sweet,Sugary,,,,,,NA,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
78665,survey-text,15,6,610070,pbzttx8g7pb,NA,"{""Q0"":""Bench"",""Q1"":""Walking"",""Q2"":""Table"",""Q3"":""Chair"",""Q4"":""Legs"",""Q5"":""Wood"",""Q6"":""Sitting"",""Q7"":""Desk"",""Q8"":""Sofa"",""Q9"":""Bench"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,stimuli/Cogs 119 List 1.wav,Bench,Walking,Table,Chair,Legs,Wood,Sitting,Desk,Sofa,Bench,,,,,,NA,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
3703,survey-likert,17,7,635136,pbzttx8g7pb,NA,"{""Q0"":3}",recognition,Thread,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
2064,survey-likert,18,8,637202,pbzttx8g7pb,NA,"{""Q0"":3}",recognition,Needle,critical,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
1598,survey-likert,19,9,638802,pbzttx8g7pb,NA,"{""Q0"":3}",recognition,Stitch,weakly related,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
3264,survey-likert,20,10,642069,pbzttx8g7pb,NA,"{""Q0"":2}",recognition,Pin,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/pbzttx8g7pb_1772139638903.csv,manatee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,This experiment was potentially about working memory and seeing overall how many words we are able to recall right after hearing them.,"I felt okay, my brain is a little overloaded in general due to midterms so I did not feel like I was retaining as much as I could potentially. ",I found the tasks easy. They were explained well and very straight forward.,I did not experience and technical issues.,"No, great job!! :)",FALSE
